股票代码,股票名称,最新价格,涨跌幅(%),市盈率PE,市净率PB,总市值,板块类型,风险状态
600196,复星医药,24.6,1.44,18.857,1.334,65692561395,上交所主板,正常上市
600197,伊力特,10.64,0.38,28.434,1.265,5034578989,上交所主板,正常上市
600198,大唐电信,7.21,-0.41,-192.741,48.916,9398981531,上交所主板,正常上市
600199,金种子酒,8.05,1.0,-30.24,2.719,5295264433,上交所主板,正常上市
600201,生物股份,13.77,0.15,105.259,2.827,15146006164,上交所主板,正常上市
600202,哈空调,4.98,-0.6,-142.049,2.355,1909036547,上交所主板,正常上市
600203,福日电子,10.39,0.48,482.398,3.58,6161146172,上交所主板,正常上市
600207,安彩高科,4.5,-1.53,-6.369,2.605,4901906493,上交所主板,正常上市
600208,衢州发展,3.13,-0.95,175.643,0.637,26632984704,上交所主板,正常上市
600210,紫江企业,6.11,-0.49,8.544,1.343,9267257925,上交所主板,正常上市
600211,西藏药业,39.89,2.44,13.281,3.294,12857312728,上交所主板,正常上市
600212,绿能慧充,5.54,-1.07,1816.177,6.76,3900992180,上交所主板,正常上市
600215,派斯林,6.79,1.95,-8.689,1.265,3102234755,上交所主板,正常上市
600216,浙江医药,13.52,-1.82,17.305,1.157,13001342380,上交所主板,正常上市
600217,中再资环,3.15,-1.25,-8.582,1.833,5221609070,上交所主板,正常上市
600218,全柴动力,7.67,-0.39,50.642,1.019,3341051379,上交所主板,正常上市
600221,海航控股,1.34,0.0,16.745,8.266,57908947597,上交所主板,正常上市
600222,太龙药业,8.22,4.71,75.294,2.937,4597965364,上交所主板,正常上市
600223,福瑞达,5.72,0.7,34.36,1.361,5814773393,上交所主板,正常上市
600228,返利科技,8.27,-0.72,-54.379,9.023,3445880971,上交所主板,正常上市
600229,城市传媒,5.21,0.0,-7.957,1.248,3442287555,上交所主板,正常上市
600231,凌钢股份,1.71,-1.72,-2.752,1.379,4911228382,上交所主板,正常上市
600232,金鹰股份,6.38,-0.93,63.52,2.42,2326904311,上交所主板,正常上市
600233,圆通速递,18.47,-0.05,13.044,1.744,63241583610,上交所主板,正常上市
600234,科新发展,23.53,0.6,-302.527,13.715,6177118495,上交所主板,正常上市
600235,民丰特纸,5.67,-0.53,200.01,1.319,1991871000,上交所主板,正常上市
600236,桂冠电力,10.6,0.28,21.697,4.618,83553204701,上交所主板,正常上市
600237,铜峰电子,8.95,1.59,48.181,2.822,5642883307,上交所主板,正常上市
600238,ST椰岛,4.43,-1.99,-92.575,25.46,1985526000,上交所主板,ST风险警示
600239,ST云城,1.44,-1.37,-8.458,2.274,2312189149,上交所主板,ST风险警示
600241,时代万恒,7.2,-1.37,-14.369,2.071,2118975228,上交所主板,正常上市
600243,*ST海华,3.79,2.99,-18.824,3.008,1663241500,上交所主板,*ST退市风险警示
600246,万通发展,12.63,0.96,-33.665,5.393,24539931822,上交所主板,正常上市
600248,陕建股份,2.89,-0.69,-787.624,0.39,10733255637,上交所主板,正常上市
600249,两面针,5.35,0.38,-205.555,1.37,2942500000,上交所主板,正常上市
600250,南京商旅,8.6,-0.58,270.539,4.307,2690006074,上交所主板,正常上市
600251,冠农股份,9.82,-0.71,16.767,1.887,7630076985,上交所主板,正常上市
600252,中恒集团,2.39,3.91,-18.65,1.446,7610149737,上交所主板,正常上市
600255,鑫科材料,3.31,-1.78,111.18,3.98,5978346421,上交所主板,正常上市
600256,广汇能源,5.8,-1.53,41.585,1.514,37073617191,上交所主板,正常上市
600256,广汇能源,5.79,-1.7,41.585,1.514,37009697162,上交所主板,正常上市
600257,大湖股份,5.67,3.28,111.289,3.343,2728614856,上交所主板,正常上市
600258,首旅酒店,12.26,-0.16,16.345,1.118,13689554325,上交所主板,正常上市
600259,中稀有色,90.39,1.21,121.158,8.31,30410441905,上交所主板,正常上市
600261,阳光照明,3.08,0.0,30.231,1.164,4111963135,上交所主板,正常上市
600262,北方股份,15.03,-1.76,15.741,1.912,3577140000,上交所主板,正常上市
600265,*ST景谷,24.56,2.63,-13.837,15.057,3187888000,上交所主板,*ST退市风险警示
600267,海正药业,14.25,1.21,23.969,1.911,16818877368,上交所主板,正常上市
600269,赣粤高速,3.8,0.0,12.268,0.461,8874546653,上交所主板,正常上市
600271,航天信息,6.99,-0.85,-18.714,0.999,12951663620,上交所主板,正常上市
600273,嘉化能源,6.83,-0.73,10.983,0.911,8956241303,上交所主板,正常上市
600278,XD东方创,6.3,-0.63,29.707,0.726,5421267539,上交所主板,正常上市
600279,重庆港,4.27,-1.39,86.717,0.752,5067919028,上交所主板,正常上市
600280,中央商场,3.07,0.66,-8.62,13.031,3463987799,上交所主板,正常上市
600281,华阳新材,4.44,-1.55,-21.766,40.585,2283944991,上交所主板,正常上市
600282,南钢股份,4.6,-1.5,9.826,1.005,28359418651,上交所主板,正常上市
600283,钱江水利,7.97,-0.38,22.345,1.406,4469774437,上交所主板,正常上市
600284,浦东建设,5.29,-0.56,18.248,0.645,5132654240,上交所主板,正常上市
600287,苏豪时尚,4.77,-1.04,91.224,0.912,2083517273,上交所主板,正常上市
600288,大恒科技,11.45,-1.12,30.581,2.513,5001360000,上交所主板,正常上市
600288,大恒科技,11.45,-1.12,30.581,2.513,5001360000,上交所主板,正常上市
600289,ST信通,4.55,-0.22,-5.874,3.193,2871286914,上交所主板,ST风险警示
600292,电投水电,12.52,-0.95,76.612,2.739,59647597001,上交所主板,正常上市
600293,三峡新材,2.83,-1.05,-49.919,1.925,3283210480,上交所主板,正常上市
600295,鄂尔多斯,12.53,-2.03,13.681,1.558,35068666463,上交所主板,正常上市
600298,安琪酵母,43.39,0.81,23.525,3.021,37654521965,上交所主板,正常上市
600299,安迪苏,8.37,-1.88,25.932,1.315,25777752381,上交所主板,正常上市
600300,维维股份,3.26,1.88,15.158,1.422,5271883507,上交所主板,正常上市
600301,华锡有色,50.38,1.78,38.447,6.399,31868749592,上交所主板,正常上市
600302,ST标准,7.17,6.38,-15.455,5.098,2480890295,上交所主板,ST风险警示
600303,曙光股份,2.95,1.03,-5.835,2.14,2016632422,上交所主板,正常上市
600305,恒顺醋业,6.92,0.44,49.64,2.227,7644314103,上交所主板,正常上市
600308,华泰股份,3.23,-1.22,-47.598,0.541,4899490668,上交所主板,正常上市
600309,万华化学,73.63,-1.91,17.504,2.068,230496625822,上交所主板,正常上市
600310,广西能源,4.63,1.31,-184.248,2.498,6786240643,上交所主板,正常上市
600312,平高电气,19.77,-0.5,22.783,2.297,26826334279,上交所主板,正常上市
600313,农发种业,5.69,-0.52,129.506,2.73,6608217884,上交所主板,正常上市
