代码,名称,共振级别,周K信号,月K信号
603955,大千生态,🚀 月K单启,False,True
603968,醋化股份,🚀 月K单启,False,True
603970,中农立华,🚀 月K单启,False,True
603999,读者传媒,🚀 月K单启,False,True
605001,威奥股份,🚀 月K单启,False,True
605008,长鸿高科,🚀 月K单启,False,True
605068,明新旭腾,🚀 月K单启,False,True
605090,九丰能源,🚀 月K单启,False,True
605089,味知香,🚀 月K单启,False,True
605118,力鼎光电,🚀 月K单启,False,True
605136,丽人丽妆,🚀 月K单启,False,True
605169,洪通燃气,🚀 月K单启,False,True
605178,时空科技,📈 周K单启,True,False
605180,华生科技,🚀 月K单启,False,True
605183,确成股份,🚀 月K单启,False,True
605186,健麾信息,📈 周K单启,True,False
605208,永茂泰,📈 周K单启,True,False
605218,伟时电子,🔥 周月双启,True,True
605259,绿田机械,🚀 月K单启,False,True
605268,王力安防,🚀 月K单启,False,True
605286,同力天启,🚀 月K单启,False,True
605289,罗曼股份,📈 周K单启,True,False
605305,中际联合,📈 周K单启,True,False
605338,巴比食品,🚀 月K单启,False,True
605365,立达信,🚀 月K单启,False,True
605378,野马电池,🚀 月K单启,False,True
605388,均瑶健康,🚀 月K单启,False,True
605398,新炬网络,🚀 月K单启,False,True
605399,晨光新材,📈 周K单启,True,False
605488,福莱新材,🚀 月K单启,False,True
605507,国邦医药,🚀 月K单启,False,True
605566,福莱蒽特,📈 周K单启,True,False
605580,恒盛能源,📈 周K单启,True,False
605598,上海港湾,🔥 周月双启,True,True
300004,南风股份,🚀 月K单启,False,True
300005,探路者,📈 周K单启,True,False
300007,汉威科技,🚀 月K单启,False,True
300024,机器人,🔥 周月双启,True,True
300026,红日药业,🚀 月K单启,False,True
300037,新宙邦,📈 周K单启,True,False
300062,中能电气,🚀 月K单启,False,True
300066,三川智慧,🚀 月K单启,False,True
300072,海新能科,🚀 月K单启,False,True
300074,华平股份,🚀 月K单启,False,True
300073,当升科技,🚀 月K单启,False,True
300078,思创智联,🚀 月K单启,False,True
300075,数字政通,🚀 月K单启,False,True
300079,数码视讯,🚀 月K单启,False,True
300082,奥克股份,🚀 月K单启,False,True
300080,易成新能,🚀 月K单启,False,True
300086,康芝药业,🚀 月K单启,False,True
300092,科新机电,🚀 月K单启,False,True
300094,国联水产,🚀 月K单启,False,True
300098,高新兴,🚀 月K单启,False,True
300099,尤洛卡,🚀 月K单启,False,True
300100,双林股份,🔥 周月双启,True,True
300102,乾照光电,🔥 周月双启,True,True
300107,建新股份,🚀 月K单启,False,True
300112,万讯自控,🚀 月K单启,False,True
300110,华仁药业,🚀 月K单启,False,True
300111,向日葵,🚀 月K单启,False,True
300119,瑞普生物,🚀 月K单启,False,True
300113,顺网科技,🚀 月K单启,False,True
300121,阳谷华泰,🚀 月K单启,False,True
300118,东方日升,🚀 月K单启,False,True
300126,锐奇股份,🚀 月K单启,False,True
300127,银河磁体,🔥 周月双启,True,True
300122,智飞生物,🚀 月K单启,False,True
300128,锦富技术,🚀 月K单启,False,True
300129,泰胜风能,🚀 月K单启,False,True
